epoch,step,train_loss_step
0,49,0.3345206677913666
0,99,0.3506815433502197
0,149,0.0026970207691192627
0,199,0.0004261136054992676
0,249,0.27210068702697754
0,299,0.38918983936309814
0,349,0.003747418522834778
0,399,0.3503151834011078
0,449,0.00045621395111083984
0,499,0.002365022897720337
0,549,0.37559109926223755
0,599,0.009810104966163635
0,649,0.002048194408416748
0,699,0.29606008529663086
0,749,0.6197190284729004
0,799,0.004355177283287048
0,849,0.0017811059951782227
0,899,0.33526843786239624
0,949,0.001618415117263794
0,999,0.0015932917594909668
0,1049,0.0015912652015686035
0,1099,0.32854974269866943
0,1149,0.0016504526138305664
0,1199,0.007444828748703003
0,1249,0.0058796703815460205
0,1299,0.3970364034175873
0,1349,0.0030461251735687256
0,1399,0.0017410814762115479
0,1449,0.006633788347244263
0,1499,0.0009047389030456543
0,1549,0.0008953511714935303
0,1599,0.005146682262420654
0,1649,0.0011790096759796143
0,1699,0.44602343440055847
0,1749,0.38767749071121216
0,1799,0.2585830092430115
0,1849,0.0010690689086914062
0,1899,0.0007527470588684082
0,1949,0.0027922987937927246
0,1999,0.0007364153861999512
0,2049,0.3058968782424927
0,2099,0.57016521692276
0,2149,0.0012838542461395264
0,2199,0.0010724365711212158
0,2249,0.0021555721759796143
0,2299,0.004143968224525452
0,2349,0.0012559890747070312
0,2399,0.0019343793392181396
0,2449,0.3084464967250824
0,2499,0.0011616349220275879
0,2549,0.3282679319381714
0,2599,0.009231805801391602
0,2649,0.26268553733825684
0,2699,0.0038390904664993286
0,2749,0.21646982431411743
0,2799,0.3826368749141693
0,2849,0.39001142978668213
0,2899,0.007435202598571777
0,2949,0.0014469921588897705
0,2999,0.002698361873626709
0,3049,0.005376994609832764
0,3099,0.17527255415916443
0,3149,0.33847576379776
0,3199,0.0018358230590820312
0,3249,0.001330643892288208
0,3299,0.21592365205287933
0,3349,0.0006818473339080811
0,3399,0.007397383451461792
0,3449,0.37505754828453064
0,3499,0.24588125944137573
0,3549,0.0005569756031036377
0,3599,0.0020319223403930664
0,3649,0.0029979050159454346
0,3699,0.0013712644577026367
0,3749,0.008669823408126831
0,3799,0.010032474994659424
0,3849,0.0029861032962799072
0,3899,0.0033050179481506348
0,3949,0.0021808743476867676
0,3999,0.0034769177436828613
0,4049,0.4153892993927002
0,4099,0.007993727922439575
0,4149,0.004826366901397705
0,4199,0.0026045143604278564
0,4249,0.2991003096103668
0,4299,0.006308406591415405
0,4349,0.009965017437934875
0,4399,0.004479438066482544
0,4449,0.001232057809829712
0,4499,0.0019864141941070557
0,4549,0.005556195974349976
0,4599,0.0028073787689208984
0,4649,0.012002900242805481
0,4699,0.004024505615234375
0,4749,0.005634933710098267
0,4799,0.22735528647899628
0,4849,0.0024890005588531494
0,4899,0.002359449863433838
0,4949,0.006042450666427612
0,4999,0.004856079816818237
0,5049,0.001659691333770752
0,5099,0.3636879324913025
0,5149,0.0021271705627441406
0,5199,0.004215925931930542
0,5249,0.58106929063797
0,5299,0.008248522877693176
0,5349,0.004347085952758789
0,5399,0.006785780191421509
0,5449,0.005896613001823425
0,5499,0.002802252769470215
0,5549,0.0017805397510528564
0,5599,0.007451876997947693
0,5649,0.3599342107772827
0,5699,0.6401674747467041
0,5749,0.3938302993774414
0,5799,0.3937136232852936
0,5849,0.0013959705829620361
0,5899,0.0028386712074279785
0,5949,0.0028010904788970947
0,5999,0.002851933240890503
0,6049,0.0035869628190994263
0,6099,0.728657603263855
0,6149,0.001953423023223877
0,6199,0.001635730266571045
0,6249,0.4214911460876465
0,6299,0.3825801610946655
0,6349,0.005706787109375
0,6399,0.8492221832275391
0,6449,0.002635657787322998
0,6499,0.004958450794219971
0,6549,0.28528523445129395
0,6599,0.0014098286628723145
0,6649,0.005293518304824829
0,6699,0.008705735206604004
0,6749,0.006559476256370544
0,6799,0.005834311246871948
0,6849,0.002475947141647339
0,6899,0.003707706928253174
0,6949,0.3952785134315491
0,6999,0.0013338327407836914
0,7049,0.0013174116611480713
0,7099,0.2947780191898346
0,7149,0.0022871196269989014
