,mean,std
lead_1,-0.15544481633336135,0.6482029478601767
lead_2,-0.9928123727442602,2.635565833207903
lead_3,-0.8373618386188064,2.372549116136091
lead_4,0.5760115471508648,1.5088301511407713
lead_5,0.3425034725127609,1.1350338621410312
lead_6,-0.9135202632973544,2.486010579270221
lead_7,0.8157575098318134,1.6483147628100603
lead_8,0.08816400301230023,0.8769291782321443
lead_9,0.13734058516720996,0.9959559983819746
lead_10,0.27312046411736685,1.6443929478284416
lead_11,-0.9558626335313647,3.114711923626171
lead_12,-0.6890738013555365,2.745471053433032
